Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,11
Singly Linked List,max,FAIL,22,-,FAIL,601
Singly Linked List,min,FAIL,22,-,FAIL,604
Singly Linked List,singleton,11,12,0.3,4,34
Singly Linked List,append,19,17,0.8,6,139
Singly Linked List,delete,FAIL,16,-,FAIL,800
Singly Linked List,deallocate two,25,4,0.4,9,66
Singly Linked List,union,FAIL,14,-,FAIL,908
Singly Linked List,intersection,FAIL,16,-,FAIL,1040
Singly Linked List,difference,FAIL,14,-,FAIL,900
Sorted list,sort,FAIL,9,-,FAIL,239
Sorted list,reverse,36,9,1.1,11,166
Sorted list,merge,FAIL,23,-,FAIL,620
Doubly Linked List,singleton,14,13,0.3,5,38
Doubly Linked List,copy,FAIL,15,-,FAIL,1266
Doubly Linked List,single to double,66,11,1.3,23,288
List of Lists,flatten,56,12,1.3,18,335
Binary Tree,deallocate,16,2,0.3,6,26
Binary Tree,deallocate two,47,4,0.7,16,218
Binary Tree,flatten w/acc,66,17,1.1,22,234
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,1020
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,977
BST,rotate left,FAIL,74,-,FAIL,147
BST,rotate right,FAIL,74,-,FAIL,147
BST,find max,FAIL,25,-,FAIL,570
BST,delete root,FAIL,41,-,FAIL,402
BST,from list,FAIL,15,-,FAIL,496
BST,to sorted list,FAIL,15,-,FAIL,787
Rose Tree,deallocate,30,2,0.4,11,51
Rose Tree,flatten,82,10,1.5,25,352
