Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Singly Linked List,length,21,15,2.8,6,1382
Singly Linked List,max,FAIL,22,-,FAIL,2179
Singly Linked List,delete,FAIL,16,-,FAIL,2427
Singly Linked List,deallocate two,25,4,1.1,9,254
Singly Linked List,append three,FAIL,21,-,FAIL,2564
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,2775
Singly Linked List,difference,FAIL,14,-,FAIL,2448
Sorted list,insert,FAIL,21,-,FAIL,1792
Sorted list,merge,FAIL,23,-,FAIL,2141
List of Lists,length,FAIL,12,-,FAIL,1807
Binary Tree,deallocate,16,2,0.6,6,82
Binary Tree,deallocate two,FAIL,4,-,FAIL,2491
BST,rotate right,FAIL,74,-,FAIL,1440
BST,find min,FAIL,25,-,FAIL,1395
BST,find max,FAIL,25,-,FAIL,1391
BST,delete root,FAIL,41,-,FAIL,1632
BST,to sorted list,FAIL,15,-,FAIL,1556
Rose Tree,copy,FAIL,12,-,FAIL,2683
Packed Tree,unpack,FAIL,25,-,FAIL,1521
