Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,11
Integers,min of two,10,9,0.5,3,26
Singly Linked List,length,21,15,1.9,6,339
Singly Linked List,max,FAIL,22,-,FAIL,2024
Singly Linked List,min,FAIL,22,-,FAIL,2082
Singly Linked List,deallocate,11,2,0.4,4,16
Singly Linked List,copy,32,12,1.4,11,205
Singly Linked List,append,19,17,1.2,6,170
Singly Linked List,delete,48,16,5.6,15,1133
Singly Linked List,append three,90,21,5.2,29,1329
Singly Linked List,union,FAIL,14,-,FAIL,3861
Singly Linked List,intersection,FAIL,16,-,FAIL,4178
Singly Linked List,difference,FAIL,14,-,FAIL,4796
Sorted list,insertion sort,22,18,1.7,7,268
Doubly Linked List,copy,FAIL,15,-,FAIL,7894
Doubly Linked List,delete,FAIL,18,-,FAIL,4781
Doubly Linked List,single to double,66,11,2.3,23,409
List of Lists,deallocate,32,3,0.9,11,76
List of Lists,length,FAIL,12,-,FAIL,3634
Binary Tree,copy,FAIL,12,-,FAIL,5709
Binary Tree,flatten w/append,48,10,1.2,17,139
Binary Tree,flatten w/acc,63,17,2.8,21,482
Binary Tree,flatten,74,10,7.0,24,2300
BST,insert,FAIL,21,-,FAIL,1820
BST,from list,FAIL,15,-,FAIL,2245
BST,to sorted list,FAIL,15,-,FAIL,2490
Rose Tree,copy,FAIL,12,-,FAIL,4743
Packed Tree,unpack,FAIL,25,-,FAIL,3181
