Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.7,3,63
Singly Linked List,max,FAIL,22,-,FAIL,7882
Singly Linked List,initialize,13,8,3.5,4,2633
Singly Linked List,copy,FAIL,12,-,FAIL,5959
Singly Linked List,append,29,17,5.4,10,2599
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,8350
Singly Linked List,intersection,FAIL,16,-,FAIL,7011
Singly Linked List,difference,FAIL,14,-,FAIL,5768
Sorted list,prepend,FAIL,29,-,FAIL,397
Sorted list,sort,FAIL,9,-,FAIL,5327
Sorted list,reverse,FAIL,9,-,FAIL,4958
Sorted list,merge,FAIL,23,-,FAIL,7436
Doubly Linked List,singleton,FAIL,13,-,FAIL,242
Doubly Linked List,append,FAIL,20,-,FAIL,4230
Doubly Linked List,delete,FAIL,18,-,FAIL,4645
List of Lists,deallocate,32,3,12.2,11,5767
List of Lists,flatten,FAIL,12,-,FAIL,7565
List of Lists,length,FAIL,12,-,FAIL,2447
Binary Tree,deallocate two,FAIL,4,-,FAIL,5694
Binary Tree,copy,FAIL,12,-,FAIL,4995
Binary Tree,flatten,FAIL,10,-,FAIL,5725
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,7178
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,6212
BST,insert,FAIL,21,-,FAIL,4504
BST,find max,FAIL,25,-,FAIL,4026
BST,from list,FAIL,15,-,FAIL,4168
Packed Tree,pack,FAIL,36,-,FAIL,2346
