Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.4,3,19
Singly Linked List,deallocate,11,2,0.4,4,16
Singly Linked List,initialize,13,8,0.9,4,103
Singly Linked List,deallocate two,25,4,0.8,9,68
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,3121
Singly Linked List,intersection,FAIL,16,-,FAIL,4227
Sorted list,insert,96,21,12.6,29,1858
Sorted list,reverse,49,9,6.5,13,1125
Sorted list,merge,FAIL,23,-,FAIL,1829
Doubly Linked List,singleton,14,13,0.5,5,30
Doubly Linked List,append,57,20,8.7,19,4441
Doubly Linked List,delete,96,18,12.1,30,3948
List of Lists,flatten,90,12,2.5,30,538
List of Lists,length,FAIL,12,-,FAIL,2881
Binary Tree,size,35,13,2.1,10,557
Binary Tree,deallocate,16,2,0.5,6,26
Binary Tree,copy,FAIL,12,-,FAIL,3767
Binary Tree,flatten to dll in place,60,5,5.9,19,2310
BST,insert,FAIL,21,-,FAIL,2270
BST,rotate left,FAIL,74,-,FAIL,2888
BST,delete root,FAIL,41,-,FAIL,2636
BST,from list,FAIL,15,-,FAIL,1138
Rose Tree,flatten,FAIL,10,-,FAIL,3455
Packed Tree,pack,FAIL,36,-,FAIL,2948
