Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.5,3,25
Singly Linked List,max,41,22,3.8,11,483
Singly Linked List,deallocate,11,2,0.3,4,16
Singly Linked List,append,19,17,1.4,6,193
Singly Linked List,delete,41,16,2.0,12,241
Singly Linked List,deallocate two,25,4,0.7,9,68
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,2137
Singly Linked List,deduplicate,76,10,9.1,23,1126
Sorted list,prepend,11,29,0.6,4,37
Sorted list,insert,86,21,3.8,25,375
Sorted list,reverse,49,9,2.1,13,234
Doubly Linked List,single to double,69,11,1.7,24,187
List of Lists,deallocate,32,3,0.8,11,76
List of Lists,flatten,56,12,2.3,18,375
Binary Tree,size,32,13,1.7,9,245
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,deallocate two,47,4,1.3,16,263
Binary Tree,flatten w/append,51,10,1.7,18,279
BST,rotate left,FAIL,74,-,FAIL,1139
BST,from list,FAIL,15,-,FAIL,738
BST,to sorted list,67,15,9.9,21,1779
Rose Tree,deallocate,24,2,0.6,9,47
Rose Tree,flatten,FAIL,10,-,FAIL,3029
Packed Tree,pack,FAIL,36,-,FAIL,2310
