Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,1.1,4,274
Integers,min of two,10,9,0.9,3,72
Singly Linked List,length,FAIL,15,-,FAIL,5511
Singly Linked List,min,FAIL,22,-,FAIL,3997
Singly Linked List,singleton,FAIL,12,-,FAIL,226
Singly Linked List,initialize,13,8,2.5,4,973
Singly Linked List,append,FAIL,17,-,FAIL,4730
Singly Linked List,delete,FAIL,16,-,FAIL,3670
Singly Linked List,append three,FAIL,21,-,FAIL,7198
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,3949
Singly Linked List,deduplicate,FAIL,10,-,FAIL,3555
Sorted list,prepend,FAIL,29,-,FAIL,252
Sorted list,reverse,FAIL,9,-,FAIL,2704
Sorted list,merge,FAIL,23,-,FAIL,3598
Doubly Linked List,singleton,FAIL,13,-,FAIL,244
Doubly Linked List,copy,FAIL,15,-,FAIL,2474
Doubly Linked List,append,FAIL,20,-,FAIL,5301
Doubly Linked List,delete,FAIL,18,-,FAIL,3184
Doubly Linked List,single to double,66,11,8.3,23,3196
List of Lists,deallocate,32,3,2.8,11,640
Binary Tree,size,FAIL,13,-,FAIL,7318
Binary Tree,deallocate two,FAIL,4,-,FAIL,4016
Binary Tree,flatten w/append,48,10,7.8,17,3302
Binary Tree,flatten w/acc,FAIL,17,-,FAIL,4254
Binary Tree,flatten,FAIL,10,-,FAIL,4638
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,3371
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,3722
BST,rotate left,FAIL,74,-,FAIL,3263
BST,find min,FAIL,25,-,FAIL,2668
BST,to sorted list,FAIL,15,-,FAIL,3116
Rose Tree,deallocate,24,2,1.4,9,206
Rose Tree,copy,FAIL,12,-,FAIL,2100
