Name, Time,Time simple cost,Time no limits, Spec Size, Num Procs, Code Size, Num Statements, Goals generated, Rules applied, Max Worklist Size,,,
ints/min2,1223,1395,1034,9,1,10,3,29,28,4, branchAbduction = true,,
ints/swap,209,230,228,12,1,12,4,12,12,3, ,,
sll/append-copy,8387,51357,1800033,21,2,63,21,1958,1645,35, ,,
sll/append,384,520,802,17,1,19,6,109,102,11, ,,
sll/copy,631,1083,417719,12,1,32,11,194,168,12, ,,
sll/delete-all,1222,921,2134,16,1,41,12,264,251,9, branchAbduction = true,,
sll/diff,4926,57824,31260,14,2,71,21,1003,908,22, maxCloseDepth = 2, branchAbduction = true,
sll/free,200,178,720,2,1,11,4,16,17,1, ,,
sll/free2,262,245,341,4,2,25,9,66,67,5, ,,
sll/init,441,401,1038,8,1,13,4,94,87,6, ,,
sll/intersect,105342,119835,1800010,16,3,112,32,14324,12517,156, branchAbduction = true,,
sll/len,461,455,943,15,1,21,6,106,97,11, ,,
sll/max,3202,6786,5968,22,1,41,11,758,709,18, ,,
sll/min,3164,6603,5887,22,1,41,11,758,709,18, ,,
sll/multi-append,1116,2487,1989,21,2,48,14,439,390,24, ,,
sll/singleton,233,198,400,12,1,11,4,33,30,6, maxCloseDepth = 2,,
sll/union,4659,21488,41809,14,2,77,23,975,898,25, maxCloseDepth = 2, branchAbduction = true,
sll/unique,1945,2468,6809,10,2,73,22,440,411,15, maxCloseDepth = 2, branchAbduction = true,
srtl/insert,1162,17148,2455,21,1,65,19,269,258,12, maxCloseDepth = 2, branchAbduction = true,
srtl/insertion-sort,845,2722,53957,18,1,22,7,258,217,25, ,,
srtl/merge,114828,7540,1800001,23,2,101,30,6721,6157,16, maxCloseDepth = 2, branchAbduction = true,
srtl/prepend,321,276,683,29,1,11,4,39,37,6, ,,
srtl/reverse,1375,829,5684,9,2,36,11,168,152,9, maxCloseDepth = 2,,
srtl/sort,2183,1526,12967,9,2,44,13,269,247,12, maxCloseDepth = 2, branchAbduction = true,
dll/append,2473,27597,1800037,20,1,32,10,628,545,31, maxCloseDepth = 2,,
dll/copy,9863,10946,1800067,15,1,65,22,2089,1808,47, maxCloseDepth = 2,,
dll/delete-all,5104,4159,1800031,18,1,67,19,890,785,18, maxCloseDepth = 2, branchAbduction = true,
dll/from-sll,1029,847,7890,11,1,66,23,211,193,11, maxCloseDepth = 2,,
dll/singleton,277,224,374,13,1,14,5,37,34,6, maxCloseDepth = 2,,
multi-list/flatten,818,581,4788,12,2,53,17,217,202,18, maxOpenDepth = 2,,
multi-list/free,297,268,740,3,2,32,11,54,54,6, maxOpenDepth = 2,,
multi-list/len,26078,1800004,1800175,12,2,66,21,3961,3751,62, maxOpenDepth = 2, maxCloseDepth = 2,
tree/copy,3768,43922,1800448,12,1,46,16,778,705,28, ,,
tree/flatten-acc,872,910,4680,17,1,35,12,251,238,11, ,,
tree/flatten-dll-linear,142433,1525191,70880,5,2,56,17,15546,13489,173, maxOpenDepth = 2, maxCloseDepth = 2,
tree/flatten-dll,16392,1800062,37406,5,2,48,15,3292,3023,36, maxCloseDepth = 2,,
tree/flatten-helper,493,651,1635,10,1,48,17,126,117,11, ,,
tree/flatten,1795,1081,9123,10,2,71,23,551,503,37, ,,
tree/free,184,180,196,2,1,16,6,26,26,2, ,,
tree/free2,452,458,551,4,1,47,16,209,200,10, ,,
tree/size,457,1011,199341,13,1,32,9,120,109,15, ,,
rose-tree/copy,1800001,1800014,1800179,12,2,95,32,192,215,15, maxOpenDepth = 2, maxCloseDepth = 2,
rose-tree/flatten,14112,6754,1800033,10,3,80,25,2807,2159,32, maxOpenDepth = 2, maxCloseDepth = 2,
rose-tree/free,249,282,316,2,2,24,9,47,46,5, maxOpenDepth = 2,,
bst/delete-root,45670,1800004,1800163,41,1,54,18,2278,2072,49, maxCloseDepth = 2,,
bst/insert,38324,53155,1330438,21,1,58,19,2937,2754,126, maxCloseDepth = 2, branchAbduction = true,
bst/left-rotate,13894,17129,1800015,74,1,15,5,936,828,21, ,,
bst/list-to-bst,39345,41530,1800239,15,2,85,27,1305,1191,46, maxCloseDepth = 2, branchAbduction = true,
bst/max,266165,411921,1800085,25,1,56,18,5664,5200,80, maxCloseDepth = 2,,
bst/min,415315,522890,1800141,25,1,35,11,6127,5568,76, maxCloseDepth = 2,,
bst/right-rotate,14242,17893,1800187,74,1,15,5,677,600,21, ,,
bst/to-srtl,76630,24817,1800138,15,3,116,32,3730,3202,42, maxCloseDepth = 2,,
packed/pack,1800117,1800134,1800256,36,1,59,16,159,189,1, maxOpenDepth = 2, maxCloseDepth = 2, auxAbduction = false
packed/unpack,28380,1800023,1800039,25,1,72,23,3909,3126,496, maxOpenDepth = 2, maxCloseDepth = 2,
